it t_over_Tref energy enstrophy
0 0 0.001875 1.97132e-05
1 0.001 0.00187684 3.09337e-05
2 0.002 0.00187451 3.21469e-05
3 0.003 0.00186302 3.2738e-05
4 0.004 0.00185616 3.30759e-05
5 0.005 0.00184146 3.32492e-05
6 0.006 0.0018317 3.34087e-05
7 0.007 0.00181453 3.34602e-05
8 0.008 0.00180245 3.35288e-05
9 0.009 0.00178349 3.35289e-05
10 0.01 0.00176979 3.35435e-05
11 0.011 0.00174982 3.35374e-05
12 0.012 0.00173531 3.35492e-05
13 0.013 0.0017151 3.34891e-05
14 0.014 0.00170053 3.35311e-05
15 0.015 0.00168091 3.34732e-05
16 0.016 0.00166709 3.34512e-05
17 0.017 0.00164891 3.34279e-05
18 0.018 0.00163659 3.34095e-05
19 0.019 0.00162052 3.33255e-05
20 0.02 0.00161036 3.33352e-05
21 0.021 0.00159694 3.3277e-05
22 0.022 0.00158938 3.32729e-05
23 0.023 0.00157913 3.323e-05
24 0.024 0.00157455 3.32102e-05
25 0.025 0.00156764 3.31279e-05
26 0.026 0.00156617 3.31191e-05
27 0.027 0.0015626 3.30368e-05
28 0.028 0.00156414 3.30272e-05
29 0.029 0.00156377 3.2975e-05
30 0.03 0.00156807 3.29547e-05
31 0.031 0.00157049 3.28995e-05
32 0.032 0.00157706 3.28829e-05
33 0.033 0.00158174 3.28244e-05
34 0.034 0.00158996 3.28006e-05
35 0.035 0.00159622 3.27593e-05
36 0.036 0.00160546 3.27404e-05
37 0.037 0.00161248 3.2686e-05
38 0.038 0.0016219 3.26505e-05
39 0.039 0.00162896 3.26204e-05
40 0.04 0.00163779 3.25938e-05
41 0.041 0.00164405 3.25328e-05
42 0.042 0.00165159 3.25246e-05
43 0.043 0.00165636 3.24857e-05
44 0.044 0.00166195 3.24542e-05
45 0.045 0.0016646 3.24283e-05
46 0.046 0.00166777 3.24159e-05
47 0.047 0.00166782 3.23792e-05
48 0.048 0.00166821 3.23463e-05
49 0.049 0.00166543 3.2271e-05
50 0.05 0.00166287 3.2267e-05
51 0.051 0.00165715 3.22204e-05
52 0.052 0.00165167 3.22151e-05
53 0.053 0.0016431 3.2179e-05
54 0.054 0.00163492 3.21526e-05
55 0.055 0.00162381 3.21277e-05
56 0.056 0.00161327 3.2108e-05
57 0.057 0.00159998 3.20695e-05
58 0.058 0.00158763 3.20329e-05
59 0.059 0.0015727 3.20055e-05
60 0.06 0.00155916 3.19768e-05
61 0.061 0.00154328 3.19353e-05
62 0.062 0.00152914 3.18993e-05
63 0.063 0.00151291 3.18514e-05
64 0.064 0.00149896 3.18462e-05
65 0.065 0.00148309 3.17635e-05
66 0.066 0.00146992 3.17699e-05
67 0.067 0.00145508 3.17183e-05
68 0.068 0.00144333 3.16952e-05
69 0.069 0.00142999 3.16139e-05
70 0.07 0.00142022 3.16128e-05
71 0.071 0.00140889 3.15412e-05
72 0.072 0.00140145 3.15215e-05
73 0.073 0.00139249 3.14755e-05
74 0.074 0.00138764 3.14564e-05
75 0.075 0.00138124 3.14054e-05
76 0.076 0.00137915 3.13869e-05
77 0.077 0.00137529 3.13157e-05
78 0.078 0.00137589 3.13088e-05
79 0.079 0.00137453 3.12398e-05
80 0.08 0.00137763 3.11976e-05
81 0.081 0.00137854 3.11546e-05
82 0.082 0.00138381 3.11449e-05
83 0.083 0.00138654 3.10728e-05
84 0.084 0.00139355 3.10692e-05
85 0.085 0.00139764 3.10114e-05
86 0.086 0.00140578 3.09641e-05
87 0.087 0.00141067 3.09252e-05
88 0.088 0.00141935 3.09045e-05
89 0.089 0.00142438 3.08586e-05
90 0.09 0.00143295 3.07952e-05
91 0.091 0.00143754 3.07783e-05
92 0.092 0.00144535 3.07374e-05
93 0.093 0.00144881 3.06972e-05
94 0.094 0.00145529 3.06982e-05
95 0.095 0.0014571 3.06373e-05
96 0.096 0.00146166 3.06217e-05
97 0.097 0.00146137 3.05521e-05
98 0.098 0.00146361 3.05277e-05
99 0.099 0.00146092 3.0483e-05
100 0.1 0.0014606 3.04775e-05
101 0.101 0.00145533 3.04322e-05
102 0.102 0.0014523 3.04049e-05
103 0.103 0.00144444 3.03614e-05
104 0.104 0.00143884 3.03413e-05
105 0.105 0.00142854 3.03015e-05
106 0.106 0.00142062 3.02909e-05
107 0.107 0.00140827 3.02511e-05
108 0.108 0.00139834 3.02167e-05
109 0.109 0.0013844 3.01768e-05
110 0.11 0.00137307 3.01633e-05
111 0.111 0.00135809 3.009e-05
112 0.112 0.00134598 3.01341e-05
113 0.113 0.00133061 3.00604e-05
114 0.114 0.00131827 3.0002e-05
115 0.115 0.00130322 3.00061e-05
116 0.116 0.00129141 2.99529e-05
117 0.117 0.00127731 2.99358e-05
118 0.118 0.00126662 2.98957e-05
119 0.119 0.0012541 2.98389e-05
